date,COE,GVA,WAGESHARE,NUMBER
1998,2117,8295,0.26,92
1998,5034,16465,0.31,93
1998,33997,79249,0.43,94
1998,40214,96249,0.42,95
1998,26394,84156,0.31,96
1998,10949,27409,0.4,97
1998,845,4222,0.2,98
1998,1414,2769,0.51,99
1998,1303,9268,0.14,100
1998,838,3990,0.21,101
1998,4751,13112,0.36,102
1998,646,2295,0.28,103
1998,1683,15367,0.11,104
1998,3289,5868,0.56,105
1999,2751,7943,0.35,1
1999,162,276,0.59,2
1999,57,404,0.14,3
1999,344,463,0.74,4
1999,1404,13348,0.11,5
1999,1027,772,1.33,6
1999,155,1241,0.12,7
1999,2050,2650,0.77,8
1999,1275,1860,0.69,9
1999,122,173,0.71,10
1999,1055,1506,0.7,11
1999,537,702,0.76,12
1999,2142,2727,0.79,13
1999,2784,4465,0.62,14
1999,633,904,0.7,15
1999,1530,4438,0.34,16
1999,263,853,0.31,17
1999,2715,3115,0.87,18
1999,2096,2418,0.87,19
1999,476,605,0.79,20
1999,1397,2080,0.67,21
1999,2800,3746,0.75,22
1999,3938,5841,0.67,23
1999,1619,2554,0.63,24
1999,767,915,0.84,25
1999,1126,2010,0.56,26
1999,1113,1975,0.56,27
1999,663,1059,0.63,28
1999,2311,3622,0.64,29
1999,503,904,0.56,30
1999,2432,6943,0.35,31
1999,5474,7711,0.71,32
1999,1376,1994,0.69,33
1999,2047,2688,0.76,34
1999,1912,2305,0.83,35
1999,1666,2005,0.83,36
1999,397,455,0.87,37
1999,9472,11559,0.82,38
1999,6671,10070,0.66,39
1999,3774,5417,0.7,40
1999,7632,10194,0.75,41
1999,7076,7886,0.9,42
1999,902,1052,0.86,43
1999,3025,5721,0.53,44
1999,307,448,0.69,45
1999,2238,3145,0.71,46
1999,1920,2922,0.66,47
1999,284,292,0.97,48
1999,722,1206,0.6,49
1999,2589,4614,0.56,50
1999,2737,9336,0.29,51
1999,1448,3111,0.47,52
1999,759,2981,0.25,53
1999,689,2749,0.25,54
1999,980,3386,0.29,55
1999,31,23,1.35,56
1999,24558,50362,0.49,57
1999,9276,14823,0.63,58
1999,24406,40063,0.61,59
1999,27332,53956,0.51,60
1999,2084,2377,0.88,61
1999,11531,16469,0.7,62
1999,1264,1675,0.75,63
1999,2911,5123,0.57,64
1999,7588,11168,0.68,65
1999,5804,7112,0.82,66
1999,4159,6500,0.64,67
1999,11640,18080,0.64,68
1999,6262,10451,0.6,69
1999,3450,8613,0.4,70
1999,8880,16924,0.52,71
1999,12127,16345,0.74,72
1999,1430,2278,0.63,73
1999,21484,29449,0.73,74
1999,5226,12657,0.41,75
1999,5656,7264,0.78,76
1999,5443,17799,0.31,77
1999,0,106178,0,78
1999,1631,3171,0.51,79
1999,4705,9319,0.5,80
1999,4244,7740,0.55,81
1999,4066,6817,0.6,82
1999,9275,13873,0.67,83
1999,2362,6271,0.38,84
1999,2625,4960,0.53,85
1999,2905,4071,0.71,86
1999,816,1131,0.72,87
1999,5143,8637,0.6,88
1999,5488,8611,0.64,89
1999,3231,4383,0.74,90
1999,904,1534,0.59,91
1999,2327,4314,0.54,92
1999,5765,8264,0.7,93
1999,36298,45507,0.8,94
1999,43080,48653,0.89,95
1999,27909,38424,0.73,96
1999,11742,16677,0.7,97
1999,951,1940,0.49,98
1999,1438,1510,0.95,99
1999,1508,6295,0.24,100
1999,982,2368,0.41,101
1999,4989,6316,0.79,102
1999,739,1173,0.63,103
1999,1809,7613,0.24,104
1999,3468,3785,0.92,105
2000,2785,7749,0.36,1
2000,162,265,0.61,2
2000,63,398,0.16,3
2000,337,420,0.8,4
2000,1626,20248,0.08,5
2000,1147,1596,0.72,6
2000,182,1973,0.09,7
2000,2145,2744,0.78,8
2000,1315,1933,0.68,9
2000,148,202,0.73,10
2000,1057,1398,0.76,11
2000,556,719,0.77,12
2000,2240,2717,0.82,13
2000,2981,4808,0.62,14
2000,591,822,0.72,15
2000,1493,4413,0.34,16
2000,284,898,0.32,17
2000,2614,3071,0.85,18
2000,1940,2408,0.81,19
2000,429,614,0.7,20
2000,1449,2133,0.68,21
2000,2777,3601,0.77,22
2000,4150,6480,0.64,23
2000,1579,1825,0.87,24
2000,787,935,0.84,25
2000,1150,2054,0.56,26
2000,1170,1869,0.63,27
2000,656,968,0.68,28
2000,2278,3308,0.69,29
2000,490,820,0.6,30
2000,2607,6937,0.38,31
2000,5700,7476,0.76,32
2000,1431,2081,0.69,33
2000,2123,2825,0.75,34
2000,1837,2249,0.82,35
2000,1603,2004,0.8,36
2000,401,699,0.57,37
2000,9442,11730,0.8,38
2000,6791,10139,0.67,39
2000,3868,5325,0.73,40
2000,7720,10520,0.73,41
2000,7133,9429,0.76,42
2000,866,1049,0.83,43
2000,3212,5727,0.56,44
2000,349,542,0.64,45
2000,2294,3164,0.73,46
2000,1953,2926,0.67,47
2000,266,353,0.75,48
2000,778,1337,0.58,49
2000,2768,4899,0.57,50
2000,2601,9223,0.28,51
2000,1429,3059,0.47,52
2000,736,2952,0.25,53
2000,740,2700,0.27,54
2000,1176,3587,0.33,55
2000,33,24,1.38,56
2000,27542,57478,0.48,57
2000,9808,14557,0.67,58
2000,26825,40034,0.67,59
2000,29038,55821,0.52,60
2000,2136,2439,0.88,61
2000,12088,16732,0.72,62
2000,1286,1614,0.8,63
2000,3136,5473,0.57,64
2000,7897,11570,0.68,65
2000,6216,7340,0.85,66
2000,4599,6908,0.67,67
2000,12889,19041,0.68,68
2000,6642,11000,0.6,69
2000,3760,9115,0.41,70
2000,9883,19460,0.51,71
2000,14041,18533,0.76,72
2000,1647,2555,0.64,73
2000,24464,29982,0.82,74
2000,4958,11557,0.43,75
2000,6694,8186,0.82,76
2000,5366,17977,0.3,77
2000,0,111389,0,78
2000,1734,3484,0.5,79
2000,5274,10118,0.52,80
2000,4923,8699,0.57,81
2000,4687,7364,0.64,82
2000,10108,14580,0.69,83
2000,2495,6193,0.4,84
2000,3151,5360,0.59,85
2000,3392,4806,0.71,86
2000,867,1233,0.7,87
2000,5439,8807,0.62,88
2000,6554,10107,0.65,89
2000,3403,4521,0.75,90
2000,1078,1782,0.6,91
2000,2601,4618,0.56,92
2000,6852,9990,0.69,93
2000,38011,47694,0.8,94
2000,46118,52091,0.89,95
2000,29969,41397,0.72,96
2000,12607,17444,0.72,97
2000,1072,2027,0.53,98
2000,1456,1627,0.89,99
2000,1784,6485,0.28,100
2000,1179,2583,0.46,101
2000,5090,6695,0.76,102
2000,848,1256,0.68,103
2000,2003,8285,0.24,104
2000,3662,3994,0.92,105
2001,2792,7666,0.36,1
2001,173,320,0.54,2
2001,64,340,0.19,3
2001,313,692,0.45,4
2001,1683,18526,0.09,5
2001,1120,1890,0.59,6
2001,189,1814,0.1,7
2001,2144,2802,0.77,8
2001,1324,1966,0.67,9
2001,326,469,0.7,10
2001,1059,1377,0.77,11
2001,594,774,0.77,12
2001,2254,2675,0.84,13
2001,3074,4871,0.63,14
2001,581,796,0.73,15
2001,1463,4012,0.36,16
2001,302,951,0.32,17
2001,2513,2949,0.85,18
2001,1685,2179,0.77,19
2001,370,487,0.76,20
2001,1485,2133,0.7,21
2001,2702,3453,0.78,22
2001,4208,6491,0.65,23
2001,1549,1650,0.94,24
2001,793,1017,0.78,25
2001,1192,2143,0.56,26
2001,1108,1658,0.67,27
2001,633,1091,0.58,28
2001,2187,3465,0.63,29
2001,493,834,0.59,30
2001,3105,8433,0.37,31
2001,5794,7332,0.79,32
2001,1421,2212,0.64,33
2001,2095,2906,0.72,34
2001,1756,2011,0.87,35
2001,1523,1860,0.82,36
2001,357,449,0.8,37
2001,9353,11311,0.83,38
2001,7216,8046,0.9,39
2001,3769,5303,0.71,40
2001,7652,9887,0.77,41
2001,6981,8484,0.82,42
2001,746,675,1.11,43
2001,3442,6197,0.56,44
2001,397,542,0.73,45
2001,2357,3176,0.74,46
2001,2099,3206,0.65,47
2001,236,238,0.99,48
2001,829,1222,0.68,49
2001,2685,3356,0.8,50
2001,2560,8387,0.31,51
2001,1434,3328,0.43,52
2001,775,3264,0.24,53
2001,807,2900,0.28,54
2001,1331,3785,0.35,55
2001,36,27,1.33,56
2001,29335,59424,0.49,57
2001,10776,17242,0.62,58
2001,28873,44220,0.65,59
2001,31460,59530,0.53,60
2001,2294,2691,0.85,61
2001,12655,17120,0.74,62
2001,1408,1688,0.83,63
2001,3057,5034,0.61,64
2001,8155,11979,0.68,65
2001,6973,7598,0.92,66
2001,4943,7360,0.67,67
2001,13852,20140,0.69,68
2001,6788,11005,0.62,69
2001,4294,9865,0.44,70
2001,11303,19304,0.59,71
2001,16223,20163,0.8,72
2001,1876,2764,0.68,73
2001,25344,30258,0.84,74
2001,4525,12555,0.36,75
2001,7345,8882,0.83,76
2001,5580,18852,0.3,77
2001,0,114527,0,78
2001,1850,3809,0.49,79
2001,6369,11462,0.56,80
2001,5702,9549,0.6,81
2001,5353,8349,0.64,82
2001,11015,15121,0.73,83
2001,2605,6298,0.41,84
2001,3719,6182,0.6,85
2001,3707,4964,0.75,86
2001,957,1313,0.73,87
2001,5885,9514,0.62,88
2001,7152,10607,0.67,89
2001,3533,4625,0.76,90
2001,1181,1892,0.62,91
2001,2800,4886,0.57,92
2001,7479,10323,0.72,93
2001,40133,50230,0.8,94
2001,50112,56448,0.89,95
2001,33056,45385,0.73,96
2001,14360,18571,0.77,97
2001,1177,2057,0.57,98
2001,1503,1737,0.87,99
2001,1915,6570,0.29,100
2001,1348,2678,0.5,101
2001,5660,7345,0.77,102
2001,900,1169,0.77,103
2001,2236,8846,0.25,104
2001,3855,4212,0.92,105
2002,2572,7795,0.33,1
2002,175,295,0.59,2
2002,67,377,0.18,3
2002,319,499,0.64,4
2002,1523,17839,0.09,5
2002,1006,2007,0.5,6
2002,172,1946,0.09,7
2002,2230,2810,0.79,8
2002,1336,1876,0.71,9
2002,318,513,0.62,10
2002,1136,1502,0.76,11
2002,668,865,0.77,12
2002,2292,2806,0.82,13
2002,3230,5221,0.62,14
2002,567,809,0.7,15
2002,1570,4020,0.39,16
2002,291,891,0.33,17
2002,2164,2608,0.83,18
2002,1243,1728,0.72,19
2002,317,461,0.69,20
2002,1520,2341,0.65,21
2002,2691,3625,0.74,22
2002,4183,6675,0.63,23
2002,1575,1965,0.8,24
2002,786,990,0.79,25
2002,1105,2113,0.52,26
2002,1154,1613,0.72,27
2002,641,1156,0.55,28
2002,2269,3708,0.61,29
2002,405,818,0.5,30
2002,2948,8362,0.35,31
2002,5676,7533,0.75,32
2002,1531,2331,0.66,33
2002,2076,3010,0.69,34
2002,1501,1699,0.88,35
2002,1419,1637,0.87,36
2002,362,386,0.94,37
2002,9379,11331,0.83,38
2002,6591,6970,0.95,39
2002,3556,4784,0.74,40
2002,7456,9656,0.77,41
2002,7089,8054,0.88,42
2002,728,902,0.81,43
2002,3458,5940,0.58,44
2002,464,571,0.81,45
2002,2294,3169,0.72,46
2002,1928,3146,0.61,47
2002,223,259,0.86,48
2002,826,1107,0.75,49
2002,2496,3133,0.8,50
2002,2662,9383,0.28,51
2002,1503,3375,0.45,52
2002,619,3103,0.2,53
2002,834,3076,0.27,54
2002,1776,4515,0.39,55
2002,38,30,1.27,56
2002,31170,67978,0.46,57
2002,11724,17062,0.69,58
2002,28704,42197,0.68,59
2002,33138,62532,0.53,60
2002,2504,2816,0.89,61
2002,12304,17583,0.7,62
2002,1622,1942,0.84,63
2002,3136,5231,0.6,64
2002,9072,12423,0.73,65
2002,7271,8204,0.89,66
2002,5175,7784,0.66,67
2002,14497,21413,0.68,68
2002,6771,11090,0.61,69
2002,4513,10508,0.43,70
2002,11612,20720,0.56,71
2002,17020,22110,0.77,72
2002,1971,3087,0.64,73
2002,23922,36667,0.65,74
2002,4131,9772,0.42,75
2002,7603,9624,0.79,76
2002,5417,19526,0.28,77
2002,0,116065,0,78
2002,1903,4239,0.45,79
2002,6826,12402,0.55,80
2002,5832,9819,0.59,81
2002,5759,9060,0.64,82
2002,11685,16571,0.71,83
2002,2910,7009,0.42,84
2002,3827,6941,0.55,85
2002,3864,5542,0.7,86
2002,1043,1444,0.72,87
2002,5855,10013,0.58,88
2002,7420,11143,0.67,89
2002,3880,5055,0.77,90
2002,1218,1970,0.62,91
2002,2901,5207,0.56,92
2002,7775,10466,0.74,93
2002,42378,52984,0.8,94
2002,53980,61338,0.88,95
2002,36167,49857,0.73,96
2002,15532,20078,0.77,97
2002,1248,2135,0.58,98
2002,1571,1841,0.85,99
2002,2055,7425,0.28,100
2002,1465,3020,0.49,101
2002,6226,8120,0.77,102
2002,898,1156,0.78,103
2002,2357,9383,0.25,104
2002,4082,4469,0.91,105
2003,2659,8789,0.3,1
2003,174,318,0.55,2
2003,71,355,0.2,3
2003,259,400,0.65,4
2003,1448,17800,0.08,5
2003,1021,1897,0.54,6
2003,169,1908,0.09,7
2003,2327,3118,0.75,8
2003,1447,2258,0.64,9
2003,228,773,0.29,10
2003,1223,2014,0.61,11
2003,717,858,0.84,12
2003,2394,3215,0.74,13
2003,3381,5660,0.6,14
2003,531,995,0.53,15
2003,1591,4144,0.38,16
2003,316,808,0.39,17
2003,1973,2303,0.86,18
2003,1196,2029,0.59,19
2003,234,322,0.73,20
2003,1617,2426,0.67,21
2003,2619,3162,0.83,22
2003,4203,5971,0.7,23
2003,1698,1247,1.36,24
2003,790,1203,0.66,25
2003,1169,2250,0.52,26
2003,1179,2010,0.59,27
2003,637,811,0.79,28
2003,2280,4185,0.54,29
2003,504,1067,0.47,30
2003,3394,9801,0.35,31
2003,5763,7239,0.8,32
2003,1642,2701,0.61,33
2003,2135,2421,0.88,34
2003,1460,1987,0.73,35
2003,1358,1160,1.17,36
2003,389,-113,-3.44,37
2003,9457,11439,0.83,38
2003,5990,4839,1.24,39
2003,3445,5062,0.68,40
2003,7425,7928,0.94,41
2003,6707,8081,0.83,42
2003,716,612,1.17,43
2003,3728,6723,0.55,44
2003,489,760,0.64,45
2003,2221,2670,0.83,46
2003,1966,3044,0.65,47
2003,229,66,3.47,48
2003,837,1452,0.58,49
2003,2345,3569,0.66,50
2003,2678,9750,0.27,51
2003,1553,3547,0.44,52
2003,668,3137,0.21,53
2003,890,3327,0.27,54
2003,2270,5446,0.42,55
2003,41,137,0.3,56
2003,33197,71304,0.47,57
2003,12419,19267,0.64,58
2003,29633,44851,0.66,59
2003,35133,64679,0.54,60
2003,2684,2573,1.04,61
2003,12753,18513,0.69,62
2003,1944,2606,0.75,63
2003,3161,5776,0.55,64
2003,9446,13306,0.71,65
2003,7161,8062,0.89,66
2003,5428,8375,0.65,67
2003,15219,22695,0.67,68
2003,6850,11238,0.61,69
2003,4515,11086,0.41,70
2003,11350,22238,0.51,71
2003,18750,24607,0.76,72
2003,2154,3392,0.64,73
2003,24648,42360,0.58,74
2003,4204,12739,0.33,75
2003,7921,10376,0.76,76
2003,5995,21728,0.28,77
2003,0,120564,0,78
2003,1942,4170,0.47,79
2003,7526,13564,0.55,80
2003,6055,10155,0.6,81
2003,6439,10449,0.62,82
2003,12479,17580,0.71,83
2003,3188,7098,0.45,84
2003,3812,7110,0.54,85
2003,4100,5932,0.69,86
2003,1135,1564,0.73,87
2003,5976,10599,0.56,88
2003,7859,12188,0.64,89
2003,4040,5407,0.75,90
2003,1288,2125,0.61,91
2003,3040,5660,0.54,92
2003,8264,11369,0.73,93
2003,46249,57839,0.8,94
2003,57442,65288,0.88,95
2003,39857,54353,0.73,96
2003,16208,21510,0.75,97
2003,1328,2400,0.55,98
2003,1899,2252,0.84,99
2003,2217,8033,0.28,100
2003,1598,3336,0.48,101
2003,6486,8633,0.75,102
2003,922,1180,0.78,103
2003,2491,10044,0.25,104
2003,4374,4805,0.91,105
2004,2769,9335,0.3,1
2004,184,336,0.55,2
2004,75,372,0.2,3
2004,196,218,0.9,4
2004,1685,18522,0.09,5
2004,1206,1799,0.67,6
2004,197,1906,0.1,7
2004,2375,2958,0.8,8
2004,1574,2056,0.77,9
2004,212,221,0.96,10
2004,1137,1394,0.82,11
2004,825,980,0.84,12
2004,2594,3126,0.83,13
2004,3486,5383,0.65,14
2004,571,815,0.7,15
2004,1734,3928,0.44,16
2004,438,928,0.47,17
2004,1904,2429,0.78,18
2004,1100,1523,0.72,19
2004,190,321,0.59,20
2004,1724,2668,0.65,21
2004,2661,3591,0.74,22
2004,4236,6521,0.65,23
2004,2107,2613,0.81,24
2004,861,1197,0.72,25
2004,1200,2023,0.59,26
2004,1200,1623,0.74,27
2004,553,1035,0.53,28
2004,1848,2939,0.63,29
2004,437,928,0.47,30
2004,3298,8233,0.4,31
2004,5844,7228,0.81,32
2004,1618,2117,0.76,33
2004,2087,2821,0.74,34
2004,1372,1304,1.05,35
2004,1354,1416,0.96,36
2004,484,806,0.6,37
2004,9356,10853,0.86,38
2004,5512,6410,0.86,39
2004,3402,4374,0.78,40
2004,7673,9418,0.81,41
2004,7003,7632,0.92,42
2004,772,792,0.97,43
2004,3721,7528,0.49,44
2004,507,715,0.71,45
2004,2151,2882,0.75,46
2004,1943,3242,0.6,47
2004,249,229,1.09,48
2004,798,1315,0.61,49
2004,2251,3211,0.7,50
2004,2791,9116,0.31,51
2004,1577,3448,0.46,52
2004,589,2994,0.2,53
2004,1046,3309,0.32,54
2004,3126,6203,0.5,55
2004,47,40,1.18,56
2004,34872,74263,0.47,57
2004,13370,20341,0.66,58
2004,30344,47891,0.63,59
2004,37931,67886,0.56,60
2004,2773,2842,0.98,61
2004,12912,18355,0.7,62
2004,2565,3794,0.68,63
2004,3356,5927,0.57,64
2004,9389,12612,0.74,65
2004,7222,8088,0.89,66
2004,5627,8607,0.65,67
2004,15775,23764,0.66,68
2004,6941,11003,0.63,69
2004,4556,11286,0.4,70
2004,11816,22589,0.52,71
2004,20947,27996,0.75,72
2004,2372,3684,0.64,73
2004,27571,50688,0.54,74
2004,7874,16728,0.47,75
2004,8501,11049,0.77,76
2004,5797,21205,0.27,77
2004,0,124053,0,78
2004,2110,4117,0.51,79
2004,7756,14836,0.52,80
2004,6047,10647,0.57,81
2004,7485,11141,0.67,82
2004,12873,17521,0.73,83
2004,3296,6613,0.5,84
2004,4007,7201,0.56,85
2004,4299,6055,0.71,86
2004,1208,1686,0.72,87
2004,5849,11273,0.52,88
2004,8246,12718,0.65,89
2004,4075,5332,0.76,90
2004,1356,2194,0.62,91
2004,3236,5917,0.55,92
2004,8657,12008,0.72,93
2004,49370,61522,0.8,94
2004,61509,69877,0.88,95
2004,44078,60359,0.73,96
2004,16682,22517,0.74,97
2004,1379,2538,0.54,98
2004,2045,2446,0.84,99
2004,2385,8627,0.28,100
2004,1632,3612,0.45,101
2004,6901,9172,0.75,102
2004,980,1281,0.77,103
2004,2568,10670,0.24,104
2004,4442,4918,0.9,105
2005,3067,7142,0.43,1
2005,193,337,0.57,2
2005,80,439,0.18,3
2005,192,89,2.16,4
2005,1842,22115,0.08,5
2005,1329,2184,0.61,6
2005,210,2271,0.09,7
2005,2175,2724,0.8,8
2005,1778,2506,0.71,9
2005,244,304,0.8,10
2005,949,1025,0.93,11
2005,749,1347,0.56,12
2005,2949,3655,0.81,13
2005,3460,5351,0.65,14
2005,697,1091,0.64,15
2005,1865,4215,0.44,16
2005,459,1124,0.41,17
2005,1859,2270,0.82,18
2005,1101,1432,0.77,19
2005,184,335,0.55,20
2005,1703,2593,0.66,21
2005,2674,3316,0.81,22
2005,4344,6554,0.66,23
2005,1620,2472,0.66,24
2005,873,1108,0.79,25
2005,1322,2336,0.57,26
2005,1232,1558,0.79,27
2005,572,1250,0.46,28
2005,1853,3968,0.47,29
2005,475,950,0.5,30
2005,3463,8197,0.42,31
2005,5829,7569,0.77,32
2005,1649,2453,0.67,33
2005,2138,2223,0.96,34
2005,1379,1512,0.91,35
2005,1350,1285,1.05,36
2005,561,742,0.76,37
2005,9547,12388,0.77,38
2005,5789.05,6892,0.84,39
2005,3462,4005,0.86,40
2005,7582,9960,0.76,41
2005,7148,8062,0.89,42
2005,751,882,0.85,43
2005,3402,6366,0.53,44
2005,554,654,0.85,45
2005,2214,2700,0.82,46
2005,1936,4073,0.48,47
2005,231,437,0.53,48
2005,846,1285,0.66,49
2005,2261,3111,0.73,50
2005,2855,9030,0.32,51
2005,1612,3497,0.46,52
2005,645,3296,0.2,53
2005,1194,3554,0.34,54
2005,3242,6808,0.48,55
2005,54,43,1.26,56
2005,37693,82378,0.46,57
2005,14437,22148,0.65,58
2005,30607,48345,0.63,59
2005,38808,69055,0.56,60
2005,2917,2927,1,61
2005,12904,18900,0.68,62
2005,2762,4147,0.67,63
2005,3387,6232,0.54,64
2005,9920,13042,0.76,65
2005,7464,8355,0.89,66
2005,5819,8968,0.65,67
2005,16298,24591,0.66,68
2005,7129,11047,0.65,69
2005,4959,11923,0.42,70
2005,11799,22594,0.52,71
2005,21369,28904,0.74,72
2005,2429,3648,0.67,73
2005,30985,56988,0.54,74
2005,8057,26118,0.31,75
2005,9207,11300,0.81,76
2005,5874,22833,0.26,77
2005,0,127349,0,78
2005,2262,5225,0.43,79
2005,7955.05,15527,0.51,80
2005,6321,11200,0.56,81
2005,7492,11420,0.66,82
2005,13929,18309,0.76,83
2005,3411,7230,0.47,84
2005,4065,6890,0.59,85
2005,4537,6476,0.7,86
2005,1275,1818,0.7,87
2005,5902,11758,0.5,88
2005,8563,13133,0.65,89
2005,4224,5290,0.8,90
2005,1407,2334,0.6,91
2005,3411,5987,0.57,92
2005,9123,12726,0.72,93
2005,53675,66560,0.81,94
